participant,version,recall,precision,F1,TP,FN,FP
18,window,0.86,0.46,0.6,31,5,37
43,window,0.72,0.39,0.51,26,10,40
51,window,0.58,1.0,0.74,21,15,0
42,window,0.72,0.38,0.49,26,10,43
12,window,0.72,0.68,0.7,26,10,12
52,window,0.64,0.72,0.68,23,13,9
63,window,0.86,1.0,0.93,31,5,0
44,window,0.75,0.71,0.73,27,9,11
32,window,0.92,0.43,0.59,33,3,43
27,window,0.56,0.32,0.4,20,16,43
47,window,0.64,0.37,0.47,23,13,39
56,window,0.67,0.65,0.66,24,12,13
29,window,0.36,0.54,0.43,13,23,11
58,window,0.92,0.94,0.93,33,3,2
31,window,0.56,0.91,0.69,20,16,2
10,window,0.89,0.46,0.61,32,4,37
4,window,0.25,0.45,0.32,9,27,11
60,window,0.86,0.42,0.56,31,5,43
36,window,0.78,0.88,0.82,28,8,4
7,window,0.47,0.94,0.63,17,19,1
49,window,0.56,0.49,0.52,20,16,21
59,window,0.58,0.53,0.55,21,15,19
6,window,0.69,0.86,0.77,25,11,4
50,window,0.58,0.95,0.72,21,15,1
11,window,0.78,1.0,0.88,28,8,0
33,window,0.69,1.0,0.82,25,11,0
38,window,0.81,0.91,0.85,29,7,3
70,window,0.64,0.92,0.75,23,13,2
41,window,0.75,0.84,0.79,27,9,5
53,window,0.25,1.0,0.4,9,27,0
34,window,0.17,0.75,0.27,6,30,2
45,window,0.53,1.0,0.69,19,17,0
37,window,0.42,0.65,0.51,15,21,8
35,window,0.58,1.0,0.74,21,15,0
68,window,0.89,1.0,0.94,32,4,0
24,window,0.58,0.75,0.66,21,15,7
65,window,0.89,0.94,0.91,32,4,2
39,window,0.47,0.85,0.61,17,19,3
17,window,0.75,0.96,0.84,27,9,1
62,window,0.78,0.88,0.82,28,8,4
67,window,0.53,0.95,0.68,19,17,1
20,window,0.92,0.54,0.68,33,3,28
25,window,0.69,0.96,0.81,25,11,1
8,window,0.44,0.43,0.44,16,20,21
16,window,0.69,0.49,0.57,25,11,26
15,window,0.75,0.71,0.73,27,9,11
26,window,0.36,0.81,0.5,13,23,3
13,window,0.14,1.0,0.24,5,31,0
64,window,0.58,0.7,0.64,21,15,9
66,window,0.14,0.83,0.24,5,31,1
14,window,0.64,0.96,0.77,23,13,1
73,window,0.33,0.48,0.39,12,24,13
9,window,0.83,0.88,0.86,30,6,4
18,history,0.56,0.83,0.67,20,16,4
43,history,0.89,0.97,0.93,32,4,1
51,history,0.81,0.94,0.87,29,7,2
42,history,0.61,0.56,0.59,22,14,17
12,history,0.86,1.0,0.93,31,5,0
52,history,0.17,0.6,0.26,6,30,4
63,history,0.89,1.0,0.94,32,4,0
44,history,0.72,0.44,0.55,26,10,33
32,history,0.69,0.54,0.61,25,11,21
27,history,0.67,0.34,0.45,24,12,47
47,history,0.56,0.34,0.42,20,16,39
56,history,0.86,0.53,0.66,31,5,27
29,history,0.44,0.57,0.5,16,20,12
58,history,0.81,1.0,0.89,29,7,0
31,history,0.69,0.93,0.79,25,11,2
10,history,0.89,0.45,0.6,32,4,39
4,history,0.44,0.47,0.46,16,20,18
60,history,0.69,0.43,0.53,25,11,33
36,history,0.69,1.0,0.82,25,11,0
7,history,0.64,1.0,0.78,23,13,0
49,history,0.56,0.36,0.44,20,16,35
59,history,0.17,0.33,0.22,6,30,12
6,history,0.86,0.94,0.9,31,5,2
50,history,0.44,0.84,0.58,16,20,3
11,history,0.56,0.83,0.67,20,16,4
33,history,0.78,0.97,0.86,28,8,1
38,history,0.69,0.89,0.78,25,11,3
70,history,0.42,0.79,0.55,15,21,4
41,history,0.69,0.56,0.62,25,11,20
53,history,0.69,1.0,0.82,25,11,0
34,history,0.72,0.9,0.8,26,10,3
45,history,0.42,1.0,0.59,15,21,0
37,history,0.56,0.87,0.68,20,16,3
35,history,0.5,1.0,0.67,18,18,0
68,history,0.67,0.75,0.71,24,12,8
24,history,0.72,0.81,0.77,26,10,6
65,history,0.72,0.81,0.77,26,10,6
39,history,0.56,0.95,0.7,20,16,1
17,history,0.67,0.69,0.68,24,12,11
62,history,0.72,0.81,0.77,26,10,6
67,history,0.61,1.0,0.76,22,14,0
20,history,0.69,0.52,0.59,25,11,23
25,history,0.31,1.0,0.47,11,25,0
8,history,0.47,0.81,0.6,17,19,4
16,history,0.53,0.58,0.55,19,17,14
15,history,0.78,0.47,0.59,28,8,31
26,history,0.42,0.54,0.47,15,21,13
13,history,0.42,0.75,0.54,15,21,5
64,history,0.53,0.68,0.59,19,17,9
66,history,0.17,1.0,0.29,6,30,0
14,history,0.31,0.61,0.41,11,25,7
73,history,0.28,0.5,0.36,10,26,10
9,history,0.67,0.92,0.77,24,12,2
18,window+ad,0.69,0.93,0.79,25,11,2
43,window+ad,0.92,0.43,0.59,33,3,43
51,window+ad,0.47,0.81,0.6,17,19,4
42,window+ad,0.67,0.96,0.79,24,12,1
12,window+ad,0.92,0.94,0.93,33,3,2
52,window+ad,0.67,0.92,0.77,24,12,2
63,window+ad,0.75,1.0,0.86,27,9,0
44,window+ad,0.81,0.85,0.83,29,7,5
32,window+ad,0.69,0.83,0.76,25,11,5
27,window+ad,0.44,0.36,0.4,16,20,29
47,window+ad,0.56,0.48,0.51,20,16,22
56,window+ad,0.89,0.91,0.9,32,4,3
29,window+ad,0.31,0.58,0.4,11,25,8
58,window+ad,0.53,0.7,0.6,19,17,8
31,window+ad,0.97,0.97,0.97,35,1,1
10,window+ad,0.47,0.47,0.47,17,19,19
4,window+ad,0.42,0.4,0.41,15,21,23
60,window+ad,0.97,0.46,0.62,35,1,42
36,window+ad,0.69,0.93,0.79,25,11,2
7,window+ad,0.78,0.97,0.86,28,8,1
49,window+ad,0.69,0.45,0.54,25,11,31
59,window+ad,0.44,0.55,0.49,16,20,13
6,window+ad,0.94,1.0,0.97,34,2,0
50,window+ad,0.69,0.93,0.79,25,11,2
11,window+ad,0.53,0.47,0.5,19,17,21
33,window+ad,0.36,0.87,0.51,13,23,2
38,window+ad,0.64,0.82,0.72,23,13,5
70,window+ad,0.69,0.96,0.81,25,11,1
41,window+ad,0.72,0.87,0.79,26,10,4
53,window+ad,0.44,0.67,0.53,16,20,8
34,window+ad,0.17,0.4,0.23,6,30,9
45,window+ad,0.33,0.55,0.41,12,24,10
37,window+ad,0.36,0.93,0.52,13,23,1
35,window+ad,0.58,0.81,0.68,21,15,5
68,window+ad,0.86,0.97,0.91,31,5,1
24,window+ad,0.75,0.96,0.84,27,9,1
65,window+ad,0.75,0.96,0.84,27,9,1
39,window+ad,0.75,1.0,0.86,27,9,0
17,window+ad,0.83,0.79,0.81,30,6,8
62,window+ad,0.69,0.93,0.79,25,11,2
67,window+ad,0.56,0.95,0.7,20,16,1
20,window+ad,1.0,0.4,0.57,36,0,55
25,window+ad,0.64,0.92,0.75,23,13,2
8,window+ad,0.64,0.72,0.68,23,13,9
16,window+ad,0.64,0.47,0.54,23,13,26
15,window+ad,0.78,1.0,0.88,28,8,0
26,window+ad,0.78,0.37,0.51,28,8,47
13,window+ad,0.33,0.75,0.46,12,24,4
64,window+ad,0.64,0.82,0.72,23,13,5
66,window+ad,0.81,1.0,0.89,29,7,0
14,window+ad,0.44,0.84,0.58,16,20,3
73,window+ad,0.83,0.56,0.67,30,6,24
9,window+ad,0.28,0.83,0.42,10,26,2
18,history+ad,0.89,0.42,0.57,32,4,45
43,history+ad,0.72,1.0,0.84,26,10,0
51,history+ad,0.67,0.89,0.76,24,12,3
42,history+ad,0.39,0.29,0.33,14,22,35
12,history+ad,0.69,0.89,0.78,25,11,3
52,history+ad,0.19,0.5,0.28,7,29,7
63,history+ad,1.0,1.0,1.0,36,0,0
44,history+ad,0.69,0.78,0.73,25,11,7
32,history+ad,0.83,0.94,0.88,30,6,2
27,history+ad,0.69,0.4,0.51,25,11,38
47,history+ad,0.5,0.36,0.42,18,18,32
56,history+ad,0.97,1.0,0.99,35,1,0
29,history+ad,0.28,0.91,0.43,10,26,1
58,history+ad,0.75,1.0,0.86,27,9,0
31,history+ad,0.75,0.84,0.79,27,9,5
10,history+ad,0.64,0.35,0.46,23,13,42
4,history+ad,0.58,0.54,0.56,21,15,18
60,history+ad,0.58,0.36,0.44,21,15,38
36,history+ad,0.67,0.83,0.74,24,12,5
7,history+ad,0.81,1.0,0.89,29,7,0
49,history+ad,0.83,0.43,0.57,30,6,40
59,history+ad,0.25,0.38,0.3,9,27,15
6,history+ad,0.92,1.0,0.96,33,3,0
50,history+ad,0.81,1.0,0.89,29,7,0
11,history+ad,0.53,0.56,0.54,19,17,15
33,history+ad,0.86,1.0,0.93,31,5,0
38,history+ad,0.61,0.81,0.7,22,14,5
70,history+ad,0.64,1.0,0.78,23,13,0
41,history+ad,0.78,0.97,0.86,28,8,1
53,history+ad,0.5,0.64,0.56,18,18,10
34,history+ad,0.42,1.0,0.59,15,21,0
45,history+ad,0.47,0.94,0.63,17,19,1
37,history+ad,0.64,0.92,0.75,23,13,2
35,history+ad,0.17,0.86,0.28,6,30,1
68,history+ad,0.81,0.91,0.85,29,7,3
24,history+ad,0.64,0.89,0.74,23,13,3
65,history+ad,0.86,0.91,0.89,31,5,3
39,history+ad,0.75,0.84,0.79,27,9,5
17,history+ad,0.86,1.0,0.93,31,5,0
62,history+ad,0.69,0.51,0.59,25,11,24
67,history+ad,0.53,1.0,0.69,19,17,0
20,history+ad,0.89,0.4,0.55,32,4,48
25,history+ad,0.53,0.76,0.62,19,17,6
8,history+ad,0.78,0.93,0.85,28,8,2
16,history+ad,0.78,0.9,0.84,28,8,3
15,history+ad,0.81,0.59,0.68,29,7,20
26,history+ad,0.64,0.66,0.65,23,13,12
13,history+ad,0.47,0.94,0.63,17,19,1
64,history+ad,0.58,0.84,0.69,21,15,4
66,history+ad,0.69,0.73,0.71,25,11,9
14,history+ad,0.31,0.5,0.38,11,25,11
73,history+ad,0.72,0.48,0.58,26,10,28
9,history+ad,0.67,0.75,0.71,24,12,8
